X,Y
50,2636
-50,2439
44.27855574,2156.426165
12.10864033,16.9450917
-49.11766885,2292.192387
-42.38323293,1647.188735
-41.98567228,1539.83966
21.27011544,434.228157
41.24446757,1917.839508
45.14198227,2346.22451
-35.09018864,1149.050773
16.24755461,486.7256947
10.29405611,42.8497595
43.58553959,2099.45588
-43.77666124,1929.066086
34.06386449,1454.538457
-29.91264745,975.0285353
11.24315784,195.1380717
42.6003209,2096.588303
10.14176497,270.2806917
10.96315417,121.0802118
20.61345825,375.7550357
-37.42609849,1253.434553
1.287443129,137.5198392
-28.28161209,829.0047462
45.0665072,2148.189593
-27.02054847,478.048394
9.091622852,63.9324746
22.21664453,757.2292277
-20.65804213,202.7805782
-4.763819946,135.4025206
-10.84849741,-117.8555962
-41.39637968,1684.471111
-42.54596028,1703.520856
-49.07826245,2082.441058
26.14591016,750.0463484
-2.661422871,24.09890309
15.27210743,336.0535877
-42.33661833,1487.379396
-47.45007445,2233.159342
-31.58893183,1030.093819
-18.13820056,106.579718
-27.90807018,709.1361709
-10.34586887,95.99939607
-49.60263135,2495.613143
-26.3866758,775.0966325
-39.54764648,1420.373403
-6.442444022,63.17775291
-39.57882314,1601.746772
8.249737057,111.8073727
49.43755411,2598.384418
-4.067692599,-20.65695472
10.6183032,114.6032724
-48.00045456,2228.042274
-40.09049351,1590.976189
39.61173453,1535.924716
-30.63473223,828.582622
-37.46568002,1480.280139
-45.60540019,1749.036326
22.432944,469.5358083
20.31682116,486.7236857
-7.286558243,-92.7657437
35.58768872,1507.246655
-20.73167097,340.6071681
-4.792411017,-87.4100297
-24.25549125,543.5623819
17.57197867,394.4903702
-48.19025054,2184.729496
-32.59176955,801.4481339
21.05931152,608.6725361
-45.94038495,1929.697814
18.42282627,367.6690065
32.38657892,986.050231
12.02173134,88.5872184
48.68035202,2382.817729
-17.732217,129.2348687
-31.49054168,1087.18259
11.52528734,72.4081102
-8.806481068,-136.8653344
44.88715889,2186.51851
-32.96899303,886.0475226
49.60447965,2553.417841
-39.52901507,1338.955987
24.58959628,506.4170343
43.64846404,1964.133805
-11.6245215,254.2559356
10.19660551,211.5605806
14.21285241,189.6437309
-4.333419336,53.77826513
33.93813529,1386.611433
6.450224729,15.95607324
11.22805086,272.7532786
48.59694151,2486.453549
-7.687347341,-48.96673289
17.69196269,376.0814319
-5.348855596,122.5636894
43.92864691,2104.51196
47.05069129,2296.919625
-32.86475762,921.4980207
-32.14360251,1066.780375
